beeName,filen,colony,ITdist,heatT,pestT,buzzType,freq
B12,teth_C1_B12_8.data,C1,3.999,heatwave,treated,Defence,170.6666667
B12,teth_C1_B12_7.data,C1,3.999,heatwave,treated,Defence,173.559322
B12,teth_C1_B12_10.data,C1,3.999,heatwave,treated,Defence,189.6296296
B12,teth_C1_B12_11.data,C1,3.999,heatwave,treated,Defence,196.9230769
B12,teth_C1_B12_9.data,C1,3.999,heatwave,treated,Defence,196.9230769
B12,teth_C1_B12_15.data,C1,3.999,heatwave,treated,Defence,200.7843137
B12,teth_C1_B12_12.data,C1,3.999,heatwave,treated,Defence,217.8723404
B12,teth_C1_B12_13.data,C1,3.999,heatwave,treated,Defence,217.8723404
B12,teth_C1_B12_14.data,C1,3.999,heatwave,treated,Defence,217.8723404
B13,teth_C1_B13_1.data,C1,4.328,heatwave,treated,Flight,120.4705882
B13,teth_C1_B13_4.data,C1,4.328,heatwave,treated,Flight,128
B13,teth_C1_B13_5.data,C1,4.328,heatwave,treated,Flight,129.6202532
B13,teth_C1_B13_2.data,C1,4.328,heatwave,treated,Flight,132.987013
B13,teth_C1_B13_3.data,C1,4.328,heatwave,treated,Flight,136.5333333
B13,teth_C1_B13_7.data,C1,4.328,heatwave,treated,Defence,167.8688525
B13,teth_C1_B13_6.data,C1,4.328,heatwave,treated,Defence,173.559322
B13,teth_C1_B13_12.data,C1,4.328,heatwave,treated,Defence,189.6296296
B13,teth_C1_B13_16.data,C1,4.328,heatwave,treated,Defence,193.2075472
B13,teth_C1_B13_13.data,C1,4.328,heatwave,treated,Defence,196.9230769
B13,teth_C1_B13_10.data,C1,4.328,heatwave,treated,Defence,213.3333333
B13,teth_C1_B13_11.data,C1,4.328,heatwave,treated,Defence,217.8723404
B13,teth_C1_B13_15.data,C1,4.328,heatwave,treated,Defence,232.7272727
B13,teth_C1_B13_18.data,C1,4.328,heatwave,treated,Defence,232.7272727
B14,teth_C1_B14_1.data,C1,NA,heatwave,treated,Flight,108.9361702
B14,teth_C1_B14_2.data,C1,NA,heatwave,treated,Flight,117.7011494
B14,teth_C1_B14_3.data,C1,NA,heatwave,treated,Flight,119.0697674
B14,teth_C1_B14_4.data,C1,NA,heatwave,treated,Flight,123.373494
B14,teth_C1_B14_5.data,C1,NA,heatwave,treated,Flight,123.373494
B14,teth_C1_B14_14.data,C1,NA,heatwave,treated,Defence,176.5517241
B14,teth_C1_B14_6.data,C1,NA,heatwave,treated,Defence,179.6491228
B14,teth_C1_B14_11.data,C1,NA,heatwave,treated,Defence,189.6296296
B14,teth_C1_B14_13.data,C1,NA,heatwave,treated,Defence,189.6296296
B14,teth_C1_B14_9.data,C1,NA,heatwave,treated,Defence,193.2075472
B14,teth_C1_B14_12.data,C1,NA,heatwave,treated,Defence,200.7843137
B14,teth_C1_B14_16.data,C1,NA,heatwave,treated,Defence,208.9795918
B14,teth_C1_B14_8.data,C1,NA,heatwave,treated,Defence,217.8723404
B14,teth_C1_B14_10.data,C1,NA,heatwave,treated,Defence,222.6086957
B14,teth_C1_B14_17.data,C1,NA,heatwave,treated,Defence,232.7272727
B15,teth_C1_B15_2.data,C1,NA,normal,treated,Flight,124.8780488
B15,teth_C1_B15_1.data,C1,NA,normal,treated,Flight,126.4197531
B15,teth_C1_B15_3.data,C1,NA,normal,treated,Flight,136.5333333
B15,teth_C1_B15_6.data,C1,NA,normal,treated,Flight,136.5333333
B15,teth_C1_B15_7.data,C1,NA,normal,treated,Flight,136.5333333
B15,teth_C1_B15_4.data,C1,NA,normal,treated,Flight,138.3783784
B15,teth_C1_B15_5.data,C1,NA,normal,treated,Flight,138.3783784
B15,teth_C1_B15_12.data,C1,NA,normal,treated,Defence,232.7272727
B15,teth_C1_B15_14.data,C1,NA,normal,treated,Defence,249.7560976
B15,teth_C1_B15_15.data,C1,NA,normal,treated,Defence,256
B15,teth_C1_B15_13.data,C1,NA,normal,treated,Defence,269.4736842
B16,teth_C1_B16_1.data,C1,4.235,normal,treated,Flight,142.2222222
B16,teth_C1_B16_3.data,C1,4.235,normal,treated,Flight,142.2222222
B16,teth_C1_B16_6.data,C1,4.235,normal,treated,Flight,142.2222222
B16,teth_C1_B16_2.data,C1,4.235,normal,treated,Flight,148.4057971
B16,teth_C1_B16_4.data,C1,4.235,normal,treated,Flight,148.4057971
B16,teth_C1_B16_5.data,C1,4.235,normal,treated,Flight,148.4057971
B16,teth_C1_B16_7.data,C1,4.235,normal,treated,Flight,150.5882353
B16,teth_C1_B16_14.data,C1,4.235,normal,treated,Defence,200.7843137
B16,teth_C1_B16_17.data,C1,4.235,normal,treated,Defence,208.9795918
B16,teth_C1_B16_16.data,C1,4.235,normal,treated,Defence,227.5555556
B16,teth_C1_B16_18.data,C1,4.235,normal,treated,Defence,232.7272727
B16,teth_C1_B16_8.data,C1,4.235,normal,treated,Defence,238.1395349
B16,teth_C1_B16_15.data,C1,4.235,normal,treated,Defence,243.8095238
B16,teth_C1_B16_9.data,C1,4.235,normal,treated,Defence,249.7560976
B16,teth_C1_B16_13.data,C1,4.235,normal,treated,Defence,256
B16,teth_C1_B16_10.data,C1,4.235,normal,treated,Defence,262.5641026
B16,teth_C1_B16_20.data,C1,4.235,normal,treated,Defence,262.5641026
B16,teth_C1_B16_11.data,C1,4.235,normal,treated,Defence,269.4736842
B16,teth_C1_B16_19.data,C1,4.235,normal,treated,Defence,269.4736842
B16,teth_C1_B16_12.data,C1,4.235,normal,treated,Defence,292.5714286
B17,teth_C1_B17_1.data,C1,4.413,normal,treated,Flight,117.7011494
B17,teth_C1_B17_2.data,C1,4.413,normal,treated,Flight,124.8780488
B17,teth_C1_B17_3.data,C1,4.413,normal,treated,Flight,124.8780488
B17,teth_C1_B17_5.data,C1,4.413,normal,treated,Flight,129.6202532
B17,teth_C1_B17_4.data,C1,4.413,normal,treated,Flight,131.2820513
B17,teth_C1_B17_9.data,C1,4.413,normal,treated,Defence,170.6666667
B17,teth_C1_B17_13.data,C1,4.413,normal,treated,Defence,179.6491228
B17,teth_C1_B17_6.data,C1,4.413,normal,treated,Defence,179.6491228
B17,teth_C1_B17_17.data,C1,4.413,normal,treated,Defence,193.2075472
B17,teth_C1_B17_10.data,C1,4.413,normal,treated,Defence,200.7843137
B17,teth_C1_B17_12.data,C1,4.413,normal,treated,Defence,200.7843137
B17,teth_C1_B17_11.data,C1,4.413,normal,treated,Defence,204.8
B17,teth_C1_B17_14.data,C1,4.413,normal,treated,Defence,213.3333333
B17,teth_C1_B17_15.data,C1,4.413,normal,treated,Defence,227.5555556
B18,teth_C1_B18_3.data,C1,4.316,normal,treated,Flight,157.5384615
B18,teth_C1_B18_2.data,C1,4.316,normal,treated,Flight,160
B18,teth_C1_B18_4.data,C1,4.316,normal,treated,Flight,160
B18,teth_C1_B18_5.data,C1,4.316,normal,treated,Flight,160
B18,teth_C1_B18_6.data,C1,4.316,normal,treated,Flight,160
B18,teth_C1_B18_1.data,C1,4.316,normal,treated,Flight,176.5517241
B18,teth_C1_B18_7.data,C1,4.316,normal,treated,Defence,276.7567568
B18,teth_C1_B18_12.data,C1,4.316,normal,treated,Defence,284.4444444
B18,teth_C1_B18_14.data,C1,4.316,normal,treated,Defence,284.4444444
B18,teth_C1_B18_8.data,C1,4.316,normal,treated,Defence,301.1764706
B18,teth_C1_B18_11.data,C1,4.316,normal,treated,Defence,330.3225806
B18,teth_C1_B18_13.data,C1,4.316,normal,treated,Defence,393.8461538
B19,teth_C1_B19_5.data,C1,4.305,normal,treated,Flight,111.3043478
B19,teth_C1_B19_4.data,C1,4.305,normal,treated,Flight,117.7011494
B19,teth_C1_B19_6.data,C1,4.305,normal,treated,Flight,121.9047619
B19,teth_C1_B19_7.data,C1,4.305,normal,treated,Flight,128
B19,teth_C1_B19_8.data,C1,4.305,normal,treated,Flight,132.987013
B19,teth_C1_B19_2.data,C1,4.305,normal,treated,Flight,140.2739726
B19,teth_C1_B19_1.data,C1,4.305,normal,treated,Flight,142.2222222
B19,teth_C1_B19_3.data,C1,4.305,normal,treated,Flight,142.2222222
B19,teth_C1_B19_13.data,C1,4.305,normal,treated,Defence,189.6296296
B19,teth_C1_B19_14.data,C1,4.305,normal,treated,Defence,196.9230769
B19,teth_C1_B19_9.data,C1,4.305,normal,treated,Defence,196.9230769
B19,teth_C1_B19_16.data,C1,4.305,normal,treated,Defence,204.8
B19,teth_C1_B19_15.data,C1,4.305,normal,treated,Defence,213.3333333
B2,teth_C2_B2_7.data,C2,4.227,normal,treated,Flight,69.65986395
B2,teth_C2_B2_9.data,C2,4.227,normal,treated,Flight,116.3636364
B2,teth_C2_B2_8.data,C2,4.227,normal,treated,Flight,132.987013
B2,teth_C2_B2_6.data,C2,4.227,normal,treated,Flight,134.7368421
B2,teth_C2_B2_5.data,C2,4.227,normal,treated,Defence,208.9795918
B2,teth_C2_B2_4.data,C2,4.227,normal,treated,Defence,217.8723404
B2,teth_C2_B2_3.data,C2,4.227,normal,treated,Defence,249.7560976
B20,teth_C2_B20_1.data,C2,4.65,normal,treated,Flight,121.9047619
B20,teth_C1_B20_4.data,C1,4.65,normal,treated,Flight,131.2820513
B20,teth_C1_B20_1.data,C1,4.65,normal,treated,Flight,134.7368421
B20,teth_C1_B20_2.data,C1,4.65,normal,treated,Flight,134.7368421
B20,teth_C1_B20_3.data,C1,4.65,normal,treated,Flight,134.7368421
B20,teth_C1_B20_5.data,C1,4.65,normal,treated,Flight,138.3783784
B20,teth_C1_B20_6.data,C1,4.65,normal,treated,Defence,249.7560976
B20,teth_C1_B20_13.data,C1,4.65,normal,treated,Defence,284.4444444
B20,teth_C1_B20_14.data,C1,4.65,normal,treated,Defence,292.5714286
B20,teth_C1_B20_10.data,C1,4.65,normal,treated,Defence,310.3030303
B20,teth_C1_B20_11.data,C1,4.65,normal,treated,Defence,310.3030303
B20,teth_C1_B20_12.data,C1,4.65,normal,treated,Defence,310.3030303
B20,teth_C1_B20_8.data,C1,4.65,normal,treated,Defence,310.3030303
B3,teth_C1_B3_10.data,C1,4.043,heatwave,normal,Flight,39.84435798
B3,teth_C1_B3_7.data,C1,4.043,heatwave,normal,Flight,146.2857143
B3,teth_C1_B3_8.data,C1,4.043,heatwave,normal,Flight,146.2857143
B3,teth_C1_B3_9.data,C1,4.043,heatwave,normal,Flight,146.2857143
B3,teth_C1_B3_11.data,C1,4.043,heatwave,normal,Flight,148.4057971
B3,teth_C1_B3_6.data,C1,4.043,heatwave,normal,Flight,152.8358209
B3,teth_C1_B3_2.data,C1,4.043,heatwave,normal,Defence,213.3333333
B3,teth_C1_B3_3.data,C1,4.043,heatwave,normal,Defence,227.5555556
B3,teth_C1_B3_4.data,C1,4.043,heatwave,normal,Defence,292.5714286
B3,teth_C1_B3_5.data,C1,4.043,heatwave,normal,Defence,310.3030303
B4,teth_C2_B4_12.data,C2,4.628,heatwave,normal,Flight,152.8358209
B4,teth_C2_B4_11.data,C2,4.628,heatwave,normal,Flight,157.5384615
B4,teth_C2_B4_13.data,C2,4.628,heatwave,normal,Flight,157.5384615
B4,teth_C2_B4_14.data,C2,4.628,heatwave,normal,Flight,157.5384615
B4,teth_C2_B4_1.data,C2,4.628,heatwave,normal,Defence,179.6491228
B4,teth_C2_B4_3.data,C2,4.628,heatwave,normal,Defence,256
B4,teth_C2_B4_6.data,C2,4.628,heatwave,normal,Defence,284.4444444
B4,teth_C2_B4_9.data,C2,4.628,heatwave,normal,Defence,284.4444444
B4,teth_C2_B4_4.data,C2,4.628,heatwave,normal,Defence,310.3030303
B5,teth_C1_B5_10.data,C1,4.308,heatwave,normal,Flight,146.2857143
B5,teth_C1_B5_8.data,C1,4.308,heatwave,normal,Flight,150.5882353
B5,teth_C1_B5_9.data,C1,4.308,heatwave,normal,Flight,150.5882353
B5,teth_C1_B5_6.data,C1,4.308,heatwave,normal,Flight,155.1515152
B5,teth_C1_B5_1.data,C1,4.308,heatwave,normal,Defence,276.7567568
B5,teth_C1_B5_3.data,C1,4.308,heatwave,normal,Defence,284.4444444
B5,teth_C1_B5_2.data,C1,4.308,heatwave,normal,Defence,310.3030303
B5,teth_C1_B5_4.data,C1,4.308,heatwave,normal,Defence,310.3030303
B5,teth_C1_B5_5.data,C1,4.308,heatwave,normal,Defence,310.3030303
B5,teth_C1_B5_7.data,C1,4.308,heatwave,normal,Flight,NA
B6,teth_C1_B6_10.data,C1,4.542,heatwave,normal,Flight,160
B6,teth_C1_B6_11.data,C1,4.542,heatwave,normal,Flight,162.5396825
B6,teth_C1_B6_6.data,C1,4.542,heatwave,normal,Flight,165.1612903
B6,teth_C1_B6_8.data,C1,4.542,heatwave,normal,Flight,165.1612903
B6,teth_C1_B6_9.data,C1,4.542,heatwave,normal,Flight,165.1612903
B6,teth_C1_B6_7.data,C1,4.542,heatwave,normal,Flight,170.6666667
B6,teth_C1_B6_2.data,C1,4.542,heatwave,normal,Defence,292.5714286
B6,teth_C1_B6_1.data,C1,4.542,heatwave,normal,Defence,301.1764706
B6,teth_C1_B6_4.data,C1,4.542,heatwave,normal,Defence,301.1764706
B6,teth_C1_B6_5.data,C1,4.542,heatwave,normal,Defence,310.3030303
B6,teth_C1_B6_12.data,C1,4.542,heatwave,normal,Defence,320
B6,teth_C1_B6_3.data,C1,4.542,heatwave,normal,Defence,320
B7,teth_C2_B7_11.data,C2,4.554,heatwave,normal,Flight,113.7777778
B7,teth_C2_B7_12.data,C2,4.554,heatwave,normal,Flight,115.0561798
B7,teth_C2_B7_13.data,C2,4.554,heatwave,normal,Flight,115.0561798
B7,teth_C2_B7_15.data,C2,4.554,heatwave,normal,Flight,120.4705882
B7,teth_C2_B7_14.data,C2,4.554,heatwave,normal,Flight,121.9047619
B7,teth_C2_B7_16.data,C2,4.554,heatwave,normal,Flight,123.373494
B7,teth_C2_B7_1.data,C2,4.554,heatwave,normal,Defence,165.1612903
B7,teth_C2_B7_2.data,C2,4.554,heatwave,normal,Defence,179.6491228
B7,teth_C2_B7_4.data,C2,4.554,heatwave,normal,Defence,182.8571429
B7,teth_C2_B7_5.data,C2,4.554,heatwave,normal,Defence,186.1818182
B7,teth_C2_B7_3.data,C2,4.554,heatwave,normal,Defence,189.6296296
B7,teth_C2_B7_8.data,C2,4.554,heatwave,normal,Defence,189.6296296
B7,teth_C2_B7_10.data,C2,4.554,heatwave,normal,Defence,196.9230769
B7,teth_C2_B7_6.data,C2,4.554,heatwave,normal,Defence,196.9230769
B7,teth_C2_B7_9.data,C2,4.554,heatwave,normal,Defence,196.9230769
B7,teth_C2_B7_7.data,C2,4.554,heatwave,normal,Defence,204.8
B8,teth_C1_B8_7.data,C1,3.951,heatwave,normal,Flight,128
B8,teth_C1_B8_8.data,C1,3.951,heatwave,normal,Flight,131.2820513
B8,teth_C1_B8_9.data,C1,3.951,heatwave,normal,Flight,134.7368421
B8,teth_C1_B8_10.data,C1,3.951,heatwave,normal,Flight,138.3783784
B8,teth_C1_B8_13.data,C1,3.951,heatwave,normal,Flight,142.2222222
B8,teth_C1_B8_1.data,C1,3.951,heatwave,normal,Defence,152.8358209
B8,teth_C1_B8_2.data,C1,3.951,heatwave,normal,Defence,167.8688525
B8,teth_C1_B8_3.data,C1,3.951,heatwave,normal,Defence,176.5517241
B8,teth_C1_B8_4.data,C1,3.951,heatwave,normal,Defence,182.8571429
B8,teth_C1_B8_5.data,C1,3.951,heatwave,normal,Defence,193.2075472
B8,teth_C1_B8_6.data,C1,3.951,heatwave,normal,Defence,213.3333333
B8,teth_C1_B8_11.data,C1,3.951,heatwave,normal,Defence,222.6086957
B8,teth_C1_B8_12.data,C1,3.951,heatwave,normal,Defence,232.7272727
B9,teth_C1_B9_10.data,C1,4.24,heatwave,normal,Flight,142.2222222
B9,teth_C1_B9_13.data,C1,4.24,heatwave,normal,Flight,142.2222222
B9,teth_C1_B9_15.data,C1,4.24,heatwave,normal,Flight,142.2222222
B9,teth_C1_B9_16.data,C1,4.24,heatwave,normal,Flight,142.2222222
B9,teth_C1_B9_12.data,C1,4.24,heatwave,normal,Flight,144.2253521
B9,teth_C1_B9_14.data,C1,4.24,heatwave,normal,Flight,144.2253521
B9,teth_C1_B9_11.data,C1,4.24,heatwave,normal,Flight,146.2857143
B9,teth_C1_B9_5.data,C1,4.24,heatwave,normal,Defence,256
B9,teth_C1_B9_7.data,C1,4.24,heatwave,normal,Defence,256
B9,teth_C1_B9_3.data,C1,4.24,heatwave,normal,Defence,269.4736842
B9,teth_C1_B9_9.data,C1,4.24,heatwave,normal,Defence,276.7567568
Bt16,20719_C1citBt16_1.data,C1,3.921,heatwave,normal,Flower,320
Bt16,20719_C1citBt16_2.data,C1,3.921,heatwave,normal,Flower,330.3225806
Bt16,20719_C1citBt16_5.data,C1,3.921,heatwave,normal,Flower,353.1034483
Bt16,20719_C1citBt16_7.data,C1,3.921,heatwave,normal,Flower,353.1034483
Bt16,20719_C1citBt16_8.data,C1,3.921,heatwave,normal,Flower,353.1034483
Bt17,20719_C1osBt17_7.data,C1,4.416,normal,normal,Flower,276.7567568
Bt17,20719_C1rosBt17_5.data,C1,4.416,normal,normal,Flower,292.5714286
Bt17,20719_C1rosBt17_2.data,C1,4.416,normal,normal,Flower,310.3030303
Bt17,20719_C1rosBt17_6.data,C1,4.416,normal,normal,Flower,310.3030303
Bt17,20719_C1rosBt17_9.data,C1,4.416,normal,normal,Flower,310.3030303
Bt17,20719_C1rosBt17_1.data,C1,4.416,normal,normal,Flower,320
Bt18,20719_C1citBt18_1.data,C1,4.258,normal,normal,Flower,292.5714286
Bt18,20719_C1citBt18_2.data,C1,4.258,normal,normal,Flower,301.1764706
Bt18,20719_C1citBt18_3.data,C1,4.258,normal,normal,Flower,301.1764706
Bt18,20719_C1citBt18_8.data,C1,4.258,normal,normal,Flower,310.3030303
Bt18,20719_C1citBt18_9.data,C1,4.258,normal,normal,Flower,310.3030303
Bt18,20719_C1citBt18_10.data,C1,4.258,normal,normal,Flower,330.3225806
Bt19,30719C1rosBt19_4.data,C1,4.669,normal,normal,Flower,320
Bt19,30719C1rosBt19_3.data,C1,4.669,normal,normal,Flower,353.1034483
Bt20,30719C1citBt20_9.data,C1,5.178,normal,normal,Flower,232.7272727
Bt20,30719C1citBt20_10.data,C1,5.178,normal,normal,Flower,276.7567568
Bt20,30719C1citBt20_3.data,C1,5.178,normal,normal,Flower,276.7567568
Bt20,30719C1citBt20_6.data,C1,5.178,normal,normal,Flower,276.7567568
Bt20,30719C1citBt20_8.data,C1,5.178,normal,normal,Flower,276.7567568
Bt20,30719C1citBt20_1.data,C1,5.178,normal,normal,Flower,284.4444444
Bt20,30719C1citBt20_4.data,C1,5.178,normal,normal,Flower,284.4444444
Bt21,30719C1rosBt21_11.data,C1,4.167,normal,normal,Flower,276.7567568
Bt21,30719C1rosBt21_15.data,C1,4.167,normal,normal,Flower,284.4444444
Bt21,30719C1rosBt21_10.data,C1,4.167,normal,normal,Flower,301.1764706
Bt21,30719C1rosBt21_14.data,C1,4.167,normal,normal,Flower,320
Bt21,30719C1rosBt21_6.data,C1,4.167,normal,normal,Flower,320
Bt21,30719C1rosBt21_3.data,C1,4.167,normal,normal,Flower,330.3225806
Bt21,30719C1rosBt21_5.data,C1,4.167,normal,normal,Flower,330.3225806
Bt21,30719C1rosBt21_7.data,C1,4.167,normal,normal,Flower,330.3225806
Bt21,30719C2rosBt21_1.data,C2,4.167,normal,normal,Flower,341.3333333
Bt22,30719C1citBt22_7.data,C1,4.925,normal,normal,Flower,284.4444444
Bt22,30719C1citBt22_8.data,C1,4.925,normal,normal,Flower,292.5714286
Bt22,30719C1citBt22_5.data,C1,4.925,normal,normal,Flower,301.1764706
Bt22,30719C1citBt22_3.data,C1,4.925,normal,normal,Flower,320
Bt23,30719C1rosBt23_5.data,C1,4.982,normal,normal,Flower,262.5641026
Bt23,30719C1rosBt23_8.data,C1,4.982,normal,normal,Flower,276.7567568
Bt23,30719C1rosBt23_2.data,C1,4.982,normal,normal,Flower,284.4444444
Bt23,30719C1rosBt23_4.data,C1,4.982,normal,normal,Flower,284.4444444
Bt23,30719C1rosBt23_9.data,C1,4.982,normal,normal,Flower,284.4444444
Bt23,30719C1rosBt23_10.data,C1,4.982,normal,normal,Flower,292.5714286
Bt23,30719C1rosBt23_3.data,C1,4.982,normal,normal,Flower,292.5714286
Bt23,30719C1rosBt23_11.data,C1,4.982,normal,normal,Flower,310.3030303
Bt24,40719C2citBt24_2.data,C2,4.566,normal,normal,Flower,276.7567568
Bt24,40719C2citBt24_3.data,C2,4.566,normal,normal,Flower,292.5714286
Bt25,40719C1rosBt25_9.data,C1,5.064,normal,normal,Flower,292.5714286
Bt25,40719C1rosBt25_5.data,C1,5.064,normal,normal,Flower,301.1764706
Bt25,40719C1rosBt25_2.data,C1,5.064,normal,normal,Flower,310.3030303
Bt25,40719C1rosBt25_4.data,C1,5.064,normal,normal,Flower,310.3030303
Bt25,40719C1rosBt25_7.data,C1,5.064,normal,normal,Flower,310.3030303
Bt25,40719C1rosBt25_13.data,C1,5.064,normal,normal,Flower,320
Bt25,40719C1rosBt25_10.data,C1,5.064,normal,normal,Flower,330.3225806
Bt25,40719C1rosBt25_11.data,C1,5.064,normal,normal,Flower,330.3225806
Bt25,40719C1rosBt25_12.data,C1,5.064,normal,normal,Flower,341.3333333
Bt25,40719C1rosBt25_15.data,C1,5.064,normal,normal,Flower,341.3333333
Bt26,40719C2rosBt26_6.data,C2,4.708,normal,normal,Flower,320
Bt26,40719C2rosBt26_1.data,C2,4.708,normal,normal,Flower,330.3225806
Bt26,40719C2rosBt26_3.data,C2,4.708,normal,normal,Flower,330.3225806
Bt26,40719C2rosBt26_4.data,C2,4.708,normal,normal,Flower,330.3225806
Bt26,40719C2rosBt26_7.data,C2,4.708,normal,normal,Flower,330.3225806
Bt26,40719C2rosBt26_10.data,C2,4.708,normal,normal,Flower,341.3333333
Bt26,40719C2rosBt26_5.data,C2,4.708,normal,normal,Flower,341.3333333
Bt26,40719C2rosBt26_8.data,C2,4.708,normal,normal,Flower,341.3333333
Bt26,40719C2rosBt26_9.data,C2,4.708,normal,normal,Flower,353.1034483
Bt27,40719C1citBt27_7.data,C1,4.414,normal,normal,Flower,320
Bt27,40719C1citBt27_2.data,C1,4.414,normal,normal,Flower,341.3333333
Bt27,40719C1citBt27_5.data,C1,4.414,normal,normal,Flower,353.1034483
Bt28,40719C2citBt28_6.data,C2,4.233,normal,normal,Flower,330.3225806
Bt28,40719C2citBt28_7.data,C2,4.233,normal,normal,Flower,330.3225806
Bt28,40719C2citBt28_2.data,C2,4.233,normal,normal,Flower,341.3333333
Bt28,40719C2citBt28_1.data,C2,4.233,normal,normal,Flower,353.1034483
Bt28,40719C2citBt28_11.data,C2,4.233,normal,normal,Flower,353.1034483
Bt28,40719C2citBt28_4.data,C2,4.233,normal,normal,Flower,353.1034483
Bt28,40719C2citBt28_9.data,C2,4.233,normal,normal,Flower,353.1034483
Bt28,40719C2citBt28_8.data,C2,4.233,normal,normal,Flower,365.7142857
Bt29,50719C1rosBt29_1.data,C1,3.867,normal,normal,Flower,310.3030303
Bt29,50719C1rosBt29_12.data,C1,3.867,normal,normal,Flower,320
Bt29,50719C1rosBt29_2.data,C1,3.867,normal,normal,Flower,330.3225806
Bt29,50719C1rosBt29_4.data,C1,3.867,normal,normal,Flower,330.3225806
Bt29,50719C1rosBt29_6.data,C1,3.867,normal,normal,Flower,330.3225806
Bt29,50719C1rosBt29_7.data,C1,3.867,normal,normal,Flower,330.3225806
Bt29,50719C1rosBt29_3.data,C1,3.867,normal,normal,Flower,341.3333333
Bt31,50719C2rosBt31_9.data,C2,4.541,normal,normal,Flower,284.4444444
Bt31,50719C2rosBt31_10.data,C2,4.541,normal,normal,Flower,292.5714286
Bt31,50719C2rosBt31_4.data,C2,4.541,normal,normal,Flower,292.5714286
Bt31,50719C2rosBt31_7.data,C2,4.541,normal,normal,Flower,292.5714286
Bt31,50719C2rosBt31_5.data,C2,4.541,normal,normal,Flower,301.1764706
Bt31,50719C2rosBt31_1.data,C2,4.541,normal,normal,Flower,310.3030303
Bt31,50719C2rosBt31_8.data,C2,4.541,normal,normal,Flower,310.3030303
Bt32,50719C1citBt32_2.data,C1,4.663,normal,normal,Flower,276.7567568
Bt32,50719C1citBt32_3.data,C1,4.663,normal,normal,Flower,276.7567568
Bt32,50719C1citBt32_4.data,C1,4.663,normal,normal,Flower,292.5714286
Bt32,50719C1citBt32_10.data,C1,4.663,normal,normal,Flower,301.1764706
Bt32,50719C1citBt32_6.data,C1,4.663,normal,normal,Flower,310.3030303
